1 0.000 0.000
2 0.020 0.000
3 0.040 0.000
4 0.060 0.000
5 0.080 0.000
6 0.100 0.000
7 0.000 0.020
8 0.020 0.020
9 0.040 0.020
10 0.060 0.020
11 0.080 0.020
12 0.100 0.020
13 0.000 0.040
14 0.020 0.040
15 0.040 0.040
16 0.060 0.040
17 0.080 0.040
18 0.100 0.040
19 0.000 0.060
20 0.020 0.060
21 0.040 0.060
22 0.060 0.060
23 0.080 0.060
24 0.100 0.060
25 0.000 0.080
26 0.020 0.080
27 0.040 0.080
28 0.060 0.080
29 0.080 0.080
30 0.100 0.080
31 0.000 0.100
32 0.020 0.100
33 0.040 0.100
34 0.060 0.100

1 7 8 0.000
1 8 2 0.000
2 8 9 0.000
2 9 3 0.000
3 9 10 0.000
3 10 4 0.000
4 10 11 0.000
4 11 5 0.000
5 11 12 0.000
5 12 6 0.000
7 13 14 0.000
7 14 8 0.000
8 14 15 0.000
8 15 9 0.000
9 15 16 0.000
9 16 10 0.000
10 16 17 0.000
10 17 11 0.000
11 17 18 0.000
11 18 12 0.000
13 19 20 0.000
13 20 14 0.000
14 20 21 0.000
14 21 15 0.000
15 21 22 0.000
15 22 16 0.000
16 22 23 0.000
16 23 17 0.000
17 23 24 0.000
17 24 18 0.000
19 25 26 0.000
19 26 20 0.000
20 26 27 0.000
20 27 21 0.000
21 27 28 0.000
21 28 22 0.000
22 28 29 0.000
22 29 23 0.000
23 29 30 0.000
23 30 24 0.000
25 31 32 0.000
25 32 26 0.000
26 32 33 0.000
26 33 27 0.000
27 33 34 0.000
27 34 28 0.000

1 0.000
2 0.000
3 0.000
4 0.000
5 0.000
6 0.000
1 0.000
7 0.000
13 0.000
19 0.000
25 0.000
31 0.000
28 15.000
29 15.000
30 15.000
34 15.000
